감지 시각,안전 확인 시각,경과(초),최고 경보 단계,낙상 확률(%)
2026-05-27 17:17:23,17:17:23,0,caution,100.0
2026-05-27 17:17:24,17:17:24,0,caution,100.0
2026-05-27 17:17:25,17:17:25,0,caution,100.0
2026-05-27 17:17:26,17:17:26,0,caution,100.0
2026-05-27 17:17:27,17:17:27,0,caution,100.0
2026-05-27 17:17:28,17:17:28,0,caution,100.0
2026-05-27 17:17:29,17:17:29,0,caution,100.0
2026-05-27 17:17:30,17:17:30,0,caution,100.0
2026-05-27 17:17:31,17:17:31,0,caution,100.0
2026-05-27 17:17:32,17:17:32,0,caution,100.0
2026-05-27 17:18:07,17:18:41,34,caution,0.0
2026-05-27 17:19:04,17:19:38,33,caution,0.0
2026-05-27 17:20:01,17:20:35,34,caution,0.0
2026-05-27 17:21:00,17:21:35,35,caution,0.0
2026-05-27 17:22:00,17:22:36,35,caution,0.0
2026-05-27 17:30:35,17:30:46,11,caution,100.0
2026-05-27 17:30:46,17:31:10,24,caution,0.0
2026-05-27 17:31:34,17:32:05,30,caution,100.0
2026-05-27 17:32:35,17:32:41,6,caution,98.0
2026-05-27 17:32:41,17:32:42,1,caution,100.0
2026-05-27 17:32:43,17:32:44,1,caution,100.0
2026-05-27 17:32:44,17:32:45,0,caution,100.0
2026-05-27 17:32:46,17:32:48,2,caution,100.0
2026-05-27 17:32:48,17:33:01,12,caution,100.0
2026-05-27 17:33:02,17:33:03,1,caution,100.0
2026-05-27 17:33:04,17:33:06,1,caution,100.0
2026-05-27 17:33:36,17:34:11,35,caution,0.0
2026-05-27 17:34:35,17:35:11,35,caution,0.0
2026-05-27 17:35:35,17:35:56,21,caution,100.0
2026-05-27 17:35:57,17:35:58,0,caution,100.0
2026-05-27 17:35:58,17:36:10,12,caution,0.0
2026-05-27 17:36:35,17:36:45,10,caution,100.0
2026-05-27 17:36:46,17:37:10,24,caution,0.0
